time,runtime
731.4927368,3.9589e-01
731.8886719,3.9672e-01
732.2854004,4.1291e-01
732.6983032,3.9657e-01
733.0948486,3.9980e-01
733.4946899,4.1195e-01
733.9066162,3.9636e-01
734.3029785,4.0154e-01
734.7045288,3.9512e-01
735.0996704,4.0006e-01
735.4997559,3.9492e-01
735.8946533,4.1686e-01
736.3115234,4.0991e-01
736.7214355,3.9576e-01
737.1171875,3.9531e-01
737.5125122,3.9663e-01
737.9091797,3.9530e-01
738.3044434,4.0027e-01
738.7047119,3.9757e-01
739.1022949,4.1876e-01
739.5210571,3.9719e-01
739.9182739,4.0060e-01
740.3188477,3.9956e-01
740.7184448,3.9727e-01
741.1157227,4.0655e-01
741.5222778,3.9563e-01
741.9179077,3.9496e-01
742.3128662,3.9549e-01
742.7083740,4.0466e-01
743.1130371,3.9713e-01
743.5101318,3.9612e-01
743.9063110,3.9529e-01
744.3015747,3.9914e-01
744.7007446,3.9996e-01
745.1007080,3.9475e-01
745.4954224,3.9562e-01
745.8910522,3.9596e-01
746.2870483,3.9718e-01
746.6842041,4.0385e-01
747.0880737,3.9630e-01
747.4843750,3.9773e-01
747.8821411,3.9556e-01
748.2777100,3.9957e-01
748.6772461,4.0103e-01
749.0783081,3.9537e-01
749.4736938,3.9549e-01
749.8692017,3.9512e-01
750.2642822,4.2177e-01
750.6860962,3.9546e-01
751.0815430,3.9472e-01
751.4762573,4.1117e-01
751.8874512,3.9565e-01
752.2830811,3.9530e-01
752.6784058,3.9520e-01
753.0736084,3.9985e-01
753.4734497,3.9660e-01
753.8700562,3.9643e-01
754.2664795,3.9569e-01
754.6621704,3.9740e-01
755.0596313,4.0886e-01
755.4684448,3.9408e-01
755.8625488,3.9424e-01
756.2567749,4.0113e-01
756.6579590,3.9634e-01
757.0542603,3.9560e-01
757.4498901,3.9476e-01
757.8446655,3.9673e-01
758.2413940,3.9500e-01
758.6364136,3.9559e-01
759.0319824,4.1007e-01
759.4420776,3.9625e-01
759.8383179,4.0407e-01
760.2423706,3.9565e-01
760.6380615,3.9557e-01
761.0336304,3.9595e-01
761.4295654,4.0361e-01
761.8331909,4.1026e-01
762.2434692,3.9603e-01
762.6394653,3.9798e-01
763.0374756,3.9495e-01
763.4324341,4.0760e-01
763.8400269,3.9520e-01
764.2352295,4.0044e-01
764.6356812,4.0327e-01
765.0389404,3.9561e-01
765.4345703,3.9595e-01
765.8305664,3.9492e-01
766.2254639,3.9597e-01
766.6214600,3.9496e-01
767.0164185,3.9539e-01
767.4118042,3.9925e-01
767.8110352,3.9606e-01
768.2071533,4.0246e-01
768.6096191,3.9747e-01
769.0070801,3.9670e-01
769.4037476,3.9678e-01
769.8005371,4.0303e-01
770.2036133,4.0190e-01
770.6055298,3.9878e-01
771.0042725,4.1635e-01
771.4206543,3.9632e-01
771.8169556,4.0222e-01
772.2191772,3.9507e-01
772.6142578,3.9708e-01
773.0113525,3.9543e-01
773.4067383,3.9770e-01
773.8044434,3.9848e-01
774.2029419,3.9580e-01
774.5987549,3.9609e-01
774.9948730,3.9601e-01
775.3908691,3.9641e-01
775.7872925,4.0060e-01
776.1878662,3.9484e-01
776.5827637,3.9527e-01
776.9780273,4.1467e-01
777.3927002,3.9870e-01
777.7913818,3.9890e-01
778.1903076,3.9588e-01
778.5861816,3.9508e-01
778.9812622,3.9644e-01
779.3776855,3.9656e-01
779.7742920,3.9840e-01
780.1726685,4.0285e-01
780.5755615,3.9493e-01
780.9704590,3.9480e-01
781.3652954,3.9580e-01
781.7611084,3.9643e-01
782.1575317,3.9581e-01
782.5533447,3.9739e-01
782.9507446,4.0240e-01
783.3531494,3.9497e-01
783.7481079,4.0125e-01
784.1493530,3.9729e-01
784.5466919,3.9517e-01
784.9418335,3.9482e-01
785.3366699,3.9504e-01
785.7317505,3.9508e-01
786.1268311,4.0527e-01
786.5321045,3.9576e-01
786.9278564,3.9620e-01
787.3240356,3.9615e-01
787.7202148,3.9633e-01
788.1165161,3.9644e-01
788.5130005,3.9475e-01
788.9077148,3.9652e-01
789.3042603,3.9604e-01
789.7003174,3.9583e-01
790.0961304,3.9592e-01
790.4920654,3.9583e-01
790.8878784,3.9565e-01
791.2835693,3.9758e-01
791.6811523,3.9584e-01
792.0769653,3.9549e-01
792.4724731,3.9615e-01
792.8686523,3.9628e-01
793.2648926,3.9556e-01
793.6604614,3.9633e-01
794.0568237,4.1688e-01
794.4736938,3.9953e-01
794.8732300,3.9572e-01
795.2689819,3.9555e-01
795.6645508,3.9518e-01
796.0596924,3.9528e-01
796.4550171,3.9562e-01
796.8506470,4.1468e-01
797.2653198,3.9619e-01
797.6614990,3.9489e-01
798.0563965,3.9496e-01
798.4513550,3.9606e-01
798.8474121,4.1481e-01
799.2622681,3.9571e-01
799.6579590,4.1129e-01
800.0692749,3.9591e-01
800.4651489,3.9799e-01
800.8631592,4.1753e-01
801.2807007,4.0280e-01
801.6834717,3.9671e-01
802.0802002,3.9620e-01
802.4764404,4.0728e-01
802.8837280,4.6048e-01
803.3441772,3.9527e-01
803.7394409,3.9785e-01
804.1373291,3.9479e-01
804.5321045,3.9638e-01
804.9284668,3.9716e-01
805.3256226,3.9660e-01
805.7222290,3.9593e-01
806.1181641,3.9594e-01
806.5141602,3.9594e-01
806.9100952,3.9591e-01
807.3059692,3.9564e-01
807.7016602,3.9565e-01
808.0972900,4.5196e-01
808.5492554,4.0066e-01
808.9499512,3.9598e-01
809.3459473,4.0139e-01
809.7473145,3.9688e-01
810.1442261,3.9552e-01
810.5397339,3.9612e-01
810.9358521,3.9521e-01
811.3310547,4.0056e-01
811.7316284,4.0592e-01
812.1375732,3.9600e-01
812.5335693,3.9509e-01
812.9286499,4.0724e-01
813.3359375,4.0686e-01
813.7427979,3.9484e-01
814.1376343,4.6452e-01
814.6021729,3.9560e-01
814.9977417,3.9559e-01
815.3933716,4.0317e-01
815.7965088,3.9579e-01
816.1923218,3.9490e-01
816.5872192,3.9472e-01
816.9819946,3.9680e-01
817.3787842,4.1940e-01
817.7981567,3.9454e-01
818.1926880,3.9561e-01
818.5883179,3.9500e-01
818.9833374,3.9519e-01
819.3785400,3.9470e-01
819.7732544,4.0835e-01
820.1815796,3.9517e-01
820.5767822,3.9485e-01
820.9716187,3.9669e-01
821.3682861,3.9567e-01
821.7639771,3.9854e-01
822.1625366,3.9557e-01
822.5581055,4.2659e-01
822.9846802,3.9519e-01
823.3798828,3.9623e-01
823.7761230,4.0100e-01
824.1771240,3.9492e-01
824.5720825,3.9604e-01
824.9680786,3.9546e-01
825.3635864,3.9920e-01
825.7627563,4.0248e-01
826.1652832,3.9543e-01
826.5606689,3.9580e-01
826.9564819,3.9505e-01
827.3515625,3.9563e-01
827.7471924,4.0081e-01
828.1480103,3.9558e-01
828.5435791,4.3984e-01
828.9833984,3.9633e-01
829.3797607,3.9613e-01
829.7758789,3.9576e-01
830.1716919,3.9631e-01
830.5679932,3.9572e-01
830.9636841,3.9425e-01
831.3579712,4.1114e-01
831.7691040,3.9743e-01
832.1665649,4.0380e-01
832.5703735,4.0077e-01
832.9711304,4.0573e-01
833.3768921,4.0139e-01
833.7782593,4.0513e-01
834.1834106,4.0280e-01
834.5861816,3.9547e-01
834.9816895,3.9553e-01
835.3771973,3.9823e-01
835.7754517,3.9453e-01
836.1699829,3.9639e-01
836.5663452,3.9543e-01
836.9617920,3.9537e-01
837.3571777,3.9689e-01
837.7540894,3.9460e-01
838.1486816,3.9478e-01
838.5434570,3.9768e-01
838.9411621,3.9947e-01
839.3406372,3.9497e-01
839.7355957,3.9554e-01
840.1311646,3.9570e-01
840.5268555,4.1834e-01
840.9451904,3.9504e-01
841.3402710,3.9578e-01
841.7360229,3.9593e-01
842.1319580,3.9541e-01
842.5274048,3.9561e-01
842.9229736,3.9489e-01
843.3178711,3.9646e-01
843.7143555,3.9631e-01
844.3107300,3.9755e-01
844.7083130,3.9965e-01
845.1079712,3.9515e-01
845.5031128,3.9651e-01
845.8996582,3.9516e-01
846.2947998,3.9570e-01
846.6904907,4.0063e-01
847.0911255,3.9449e-01
847.4856567,3.9581e-01
847.8814697,3.9512e-01
848.2766113,3.9562e-01
848.6721802,3.9827e-01
849.0704956,3.9653e-01
849.4670410,3.9606e-01
849.8630981,3.9572e-01
850.2587891,4.1581e-01
850.6746216,3.9669e-01
851.0713501,3.9729e-01
851.4686279,3.9537e-01
851.8640137,3.9619e-01
852.2601929,3.9698e-01
852.6571655,3.9669e-01
853.0538940,3.9883e-01
853.4526978,3.9582e-01
853.8485107,4.2574e-01
854.2742920,3.9858e-01
854.6728516,3.9529e-01
855.0681152,3.9531e-01
855.4634399,3.9542e-01
855.8588867,3.9644e-01
856.2553101,3.9458e-01
856.6499023,3.9613e-01
857.0460205,4.1453e-01
857.4605713,3.9578e-01
857.8563843,3.9458e-01
858.2509155,3.9554e-01
858.6464844,3.9687e-01
859.0433960,4.0920e-01
859.4525757,3.9759e-01
859.8501587,3.9639e-01
860.2465820,3.9571e-01
860.6422729,3.9464e-01
861.0369263,3.9541e-01
861.4323120,4.0287e-01
861.8352051,3.9548e-01
862.2307129,3.9515e-01
862.6258545,3.9538e-01
863.0212402,4.0738e-01
863.4285889,4.0625e-01
863.8348999,4.0721e-01
864.2420654,3.9690e-01
864.6389771,4.0377e-01
865.0427856,3.9629e-01
865.4390869,3.9945e-01
865.8385010,3.9713e-01
866.2356567,3.9974e-01
866.6353760,3.9550e-01
867.0308838,3.9726e-01
867.4281616,3.9569e-01
867.8238525,3.9608e-01
868.2199707,3.9528e-01
868.6152344,3.9908e-01
869.0143433,1.0069e+00
870.0212402,3.9533e-01
870.4165649,3.9464e-01
870.8112183,3.9492e-01
871.2061157,3.9673e-01
871.6028442,3.9793e-01
872.0007935,3.9562e-01
872.3964233,3.9553e-01
872.7919922,4.4279e-01
873.2347412,3.9541e-01
873.6301880,4.0364e-01
874.0338135,3.9422e-01
874.4280396,3.9457e-01
874.8226318,4.1700e-01
875.2396240,3.9581e-01
875.6354370,3.9599e-01
876.0314331,3.9980e-01
876.4312134,3.9496e-01
876.8261719,3.9521e-01
877.2214355,3.9720e-01
877.6185913,3.9582e-01
878.0144043,3.9641e-01
878.4108276,3.9507e-01
878.8059082,3.9487e-01
879.2008057,3.9466e-01
879.5954590,4.2499e-01
880.0204468,3.9866e-01
880.4191284,3.9623e-01
880.8153687,3.9535e-01
881.2106934,3.9769e-01
881.6083984,3.9590e-01
882.0043335,4.2740e-01
882.4317017,3.9459e-01
882.8262939,3.9510e-01
883.2214355,4.3297e-01
883.6543579,3.9494e-01
884.0493164,4.0298e-01
884.4523315,3.9520e-01
884.8475342,3.9470e-01
885.2422485,3.9743e-01
885.6396484,3.9541e-01
886.0350952,3.9619e-01
886.4312744,4.1879e-01
886.8500366,3.9593e-01
887.2459717,4.2120e-01
887.6671753,3.9624e-01
888.0634155,3.9649e-01
888.4599609,4.0437e-01
888.8643188,3.9490e-01
889.2592163,3.9710e-01
889.6563110,3.9539e-01
890.0516968,3.9533e-01
890.4470825,3.9870e-01
890.8457642,3.9569e-01
891.2414551,3.9519e-01
891.6366577,3.9559e-01
892.0322266,3.9555e-01
892.4277954,4.0588e-01
892.8336792,3.9605e-01
893.2297363,3.9616e-01
